,Indicador,Departamento,Código Departamento,Año,Dato Numérico
0,Cobertura bruta en educación primaria,Amazonas,91,2005,104.41333333333334
1,Cobertura bruta en educación primaria,Amazonas,91,2006,108.61000000000001
2,Cobertura bruta en educación primaria,Amazonas,91,2007,116.71666666666665
3,Cobertura bruta en educación primaria,Amazonas,91,2008,115.69333333333333
4,Cobertura bruta en educación primaria,Amazonas,91,2009,119.21666666666665
5,Cobertura bruta en educación primaria,Amazonas,91,2010,114.71
6,Cobertura bruta en educación primaria,Amazonas,91,2011,125.31333333333333
7,Cobertura bruta en educación primaria,Amazonas,91,2012,123.80666666666667
8,Cobertura bruta en educación primaria,Amazonas,91,2013,119.60666666666667
9,Cobertura bruta en educación primaria,Amazonas,91,2014,121.33999999999999
10,Cobertura bruta en educación primaria,Amazonas,91,2015,118.53333333333335
11,Cobertura bruta en educación primaria,Amazonas,91,2016,117.61666666666667
12,Cobertura bruta en educación primaria,Amazonas,91,2017,117.06333333333333
13,Cobertura bruta en educación primaria,Amazonas,91,2018,114.07666666666667
14,Cobertura bruta en educación primaria,Amazonas,91,2019,100.48666666666668
15,Cobertura bruta en educación primaria,Amazonas,91,2020,98.63666666666666
16,Cobertura bruta en educación primaria,Antioquia,5,2005,122.50642857142857
17,Cobertura bruta en educación primaria,Antioquia,5,2006,131.39777777777778
18,Cobertura bruta en educación primaria,Antioquia,5,2007,132.97063492063492
19,Cobertura bruta en educación primaria,Antioquia,5,2008,131.01833333333335
20,Cobertura bruta en educación primaria,Antioquia,5,2009,126.88325396825398
21,Cobertura bruta en educación primaria,Antioquia,5,2010,125.35873015873017
22,Cobertura bruta en educación primaria,Antioquia,5,2011,124.9131746031746
23,Cobertura bruta en educación primaria,Antioquia,5,2012,124.8476984126984
24,Cobertura bruta en educación primaria,Antioquia,5,2013,124.96674603174603
25,Cobertura bruta en educación primaria,Antioquia,5,2014,118.76079365079366
26,Cobertura bruta en educación primaria,Antioquia,5,2015,117.15785714285714
27,Cobertura bruta en educación primaria,Antioquia,5,2016,113.88730158730158
28,Cobertura bruta en educación primaria,Antioquia,5,2017,105.60706349206349
29,Cobertura bruta en educación primaria,Antioquia,5,2018,104.57738095238095
30,Cobertura bruta en educación primaria,Antioquia,5,2019,106.63857142857142
31,Cobertura bruta en educación primaria,Antioquia,5,2020,100.8763492063492
32,Cobertura bruta en educación primaria,Arauca,81,2005,124.14500000000001
